Pop,Group,Shape,Fill,Color,Size,Transparency
Mongolia_LBA_Ulaanzukh_2,Mongolia_LBA_Ulaanzukh_2,15,red,black,2,1
Mordovian.HO,modern,16,gray,gray,1,0.8
Nanai.HO,modern,16,gray,gray,1,0.8
Naxi.DG,modern,16,gray,gray,1,0.8
Naxi.HO,modern,16,gray,gray,1,0.8
Negidal.HO,modern,16,gray,gray,1,0.8
Nganasan.HO,modern,16,gray,gray,1,0.8
Nivh.HO,modern,16,gray,gray,1,0.8
Nogai_Astrakhan.HO,modern,16,gray,gray,1,0.8
Norwegian.DG,modern,16,gray,gray,1,0.8
Norwegian.HO,modern,16,gray,gray,1,0.8
Orcadian.DG,modern,16,gray,gray,1,0.8
Orcadian.HO,modern,16,gray,gray,1,0.8
Oroqen.DG,modern,16,gray,gray,1,0.8
Oroqen.HO,modern,16,gray,gray,1,0.8
Ossetian.HO,modern,16,gray,gray,1,0.8
Polish.DG,modern,16,gray,gray,1,0.8
Romanian.HO,modern,16,gray,gray,1,0.8
Russian_Archangelsk_Krasnoborsky.HO,modern,16,gray,gray,1,0.8
Russian_Archangelsk_Leshukonsky.HO,modern,16,gray,gray,1,0.8
Russian_Archangelsk_Pinezhsky.HO,modern,16,gray,gray,1,0.8
Russian.DG,modern,16,gray,gray,1,0.8
Russian.HO,modern,16,gray,gray,1,0.8
Saami.DG,modern,16,gray,gray,1,0.8
Sardinian.DG,modern,16,gray,gray,1,0.8
Sardinian.HO,modern,16,gray,gray,1,0.8
SBB001.A0101,SBB001.A0101,15,red,black,2,1
SBB002.A0101,SBB002.A0101,15,red,black,2,1
SBB003.A0101,SBB003.A0101,15,red,black,2,1
SBB004.A0101,SBB004.A0101,15,red,black,2,1
SBB005.A0101,SBB005.A0101,15,red,black,2,1
SBB006.A0101,SBB006.A0101,15,red,black,2,1
SBB007.A0101,SBB007.A0101,15,red,black,2,1
SBB008.A0101,SBB008.A0101,15,red,black,2,1
SBB009.A0101,SBB009.A0101,15,red,black,2,1
SBB010.A0101,SBB010.A0101,15,red,black,2,1
Scottish.HO,modern,16,gray,gray,1,0.8
Selkup.HO,modern,16,gray,gray,1,0.8
She.DG,modern,16,gray,gray,1,0.8
She.HO,modern,16,gray,gray,1,0.8
Sherpa.HO,modern,16,gray,gray,1,0.8
Shor_Khakassia.HO,modern,16,gray,gray,1,0.8
Shor_Mountain.HO,modern,16,gray,gray,1,0.8
Sicilian.HO,modern,16,gray,gray,1,0.8
Spanish_North.HO,modern,16,gray,gray,1,0.8
Spanish.DG,modern,16,gray,gray,1,0.8
Spanish.HO,modern,16,gray,gray,1,0.8
Tabasaran.HO,modern,16,gray,gray,1,0.8
Tajik.DG,modern,16,gray,gray,1,0.8
Tajik.HO,modern,16,gray,gray,1,0.8
TAK002.A0101,TAK002.A0101,15,red,black,2,1
TAK003.A0101,TAK003.A0101,15,red,black,2,1
TAK004.A0101,TAK004.A0101,15,red,black,2,1
TAK005.A0101,TAK005.A0101,15,red,black,2,1
TAK006.A0101,TAK006.A0101,15,red,black,2,1
TAK008.A0101,TAK008.A0101,15,red,black,2,1
TAK009.A0101,TAK009.A0101,15,red,black,2,1
Tatar_Kazan.HO,modern,16,gray,gray,1,0.8
Tatar_Mishar.HO,modern,16,gray,gray,1,0.8
Tatar_Siberian_Zabolotniye.HO,modern,16,gray,gray,1,0.8
Tatar_Siberian.HO,modern,16,gray,gray,1,0.8
Thai.DG,modern,16,gray,gray,1,0.8
Thai.HO,modern,16,gray,gray,1,0.8
Tibetan.HO,modern,16,gray,gray,1,0.8
Todzin.HO,modern,16,gray,gray,1,0.8
Tofalar.HO,modern,16,gray,gray,1,0.8
Tu.DG,modern,16,gray,gray,1,0.8
Tu.HO,modern,16,gray,gray,1,0.8
Tubalar.DG,modern,16,gray,gray,1,0.8
Tubalar.HO,modern,16,gray,gray,1,0.8
Tujia.DG,modern,16,gray,gray,1,0.8
Tujia.HO,modern,16,gray,gray,1,0.8
Turkish_Balikesir.HO,modern,16,gray,gray,1,0.8
Turkish.DG,modern,16,gray,gray,1,0.8
Turkish.HO,modern,16,gray,gray,1,0.8
Turkmen.HO,modern,16,gray,gray,1,0.8
Tuvinian.HO,modern,16,gray,gray,1,0.8
Udmurt.HO,modern,16,gray,gray,1,0.8
Ukrainian.HO,modern,16,gray,gray,1,0.8
Ulchi.DG,modern,16,gray,gray,1,0.8
Ulchi.HO,modern,16,gray,gray,1,0.8
Uyghur.DG,modern,16,gray,gray,1,0.8
Uyghur.HO,modern,16,gray,gray,1,0.8
Uzbek.HO,modern,16,gray,gray,1,0.8
Veps.HO,modern,16,gray,gray,1,0.8
Xibo.DG,modern,16,gray,gray,1,0.8
Xibo.HO,modern,16,gray,gray,1,0.8
Yakut.DG,modern,16,gray,gray,1,0.8
Yakut.HO,modern,16,gray,gray,1,0.8
Yi.DG,modern,16,gray,gray,1,0.8
Yi.HO,modern,16,gray,gray,1,0.8
