Pop,Group,Shape,Fill,Color,Transparency,Size
Miao.HO,modern,16,Grey,Grey,0.8,1.5
Moldavian.HO,modern,16,Grey,Grey,0.8,1.5
Mongola.DG,modern,16,Grey,Grey,0.8,1.5
Mongola.HO,modern,16,Grey,Grey,0.8,1.5
Mongol.HO,modern,16,Grey,Grey,0.8,1.5
Mordovian.HO,modern,16,Grey,Grey,0.8,1.5
Nanai.HO,modern,16,Grey,Grey,0.8,1.5
Naxi.DG,modern,16,Grey,Grey,0.8,1.5
Naxi.HO,modern,16,Grey,Grey,0.8,1.5
Negidal.HO,modern,16,Grey,Grey,0.8,1.5
Nganasan.HO,modern,16,Grey,Grey,0.8,1.5
Nivh.HO,modern,16,Grey,Grey,0.8,1.5
Norwegian.DG,modern,16,Grey,Grey,0.8,1.5
Norwegian.HO,modern,16,Grey,Grey,0.8,1.5
Orcadian.DG,modern,16,Grey,Grey,0.8,1.5
Orcadian.HO,modern,16,Grey,Grey,0.8,1.5
Oroqen.DG,modern,16,Grey,Grey,0.8,1.5
Oroqen.HO,modern,16,Grey,Grey,0.8,1.5
Ossetian.HO,modern,16,Grey,Grey,0.8,1.5
Polish.DG,modern,16,Grey,Grey,0.8,1.5
Romanian.HO,modern,16,Grey,Grey,0.8,1.5
Russian_Archangelsk_Krasnoborsky.HO,modern,16,Grey,Grey,0.8,1.5
Russian_Archangelsk_Leshukonsky.HO,modern,16,Grey,Grey,0.8,1.5
Russian_Archangelsk_Pinezhsky.HO,modern,16,Grey,Grey,0.8,1.5
Russian.DG,modern,16,Grey,Grey,0.8,1.5
Russian.HO,modern,16,Grey,Grey,0.8,1.5
Saami.DG,modern,16,Grey,Grey,0.8,1.5
Saami.WGA.HO,modern,16,Grey,Grey,0.8,1.5
Sardinian.DG,modern,16,Grey,Grey,0.8,1.5
Sardinian.HO,modern,16,Grey,Grey,0.8,1.5
SBB001.A0101,SBB,21,red,black,1,2
SBB002.A0101,SBB,21,red,black,1,2
SBB003.A0101,SBB,21,red,black,1,2
SBB004.A0101,SBB,21,red,black,1,2
SBB005.A0101,SBB,21,red,black,1,2
SBB006.A0101,SBB,21,red,black,1,2
SBB007.A0101,SBB,21,red,black,1,2
SBB008.A0101,SBB,21,red,black,1,2
SBB009.A0101,SBB,21,red,black,1,2
SBB010.A0101,SBB,21,red,black,1,2
Scottish.HO,modern,16,Grey,Grey,0.8,1.5
Selkup.HO,modern,16,Grey,Grey,0.8,1.5
She.DG,modern,16,Grey,Grey,0.8,1.5
She.HO,modern,16,Grey,Grey,0.8,1.5
Sherpa.HO,modern,16,Grey,Grey,0.8,1.5
Shor_Khakassia.HO,modern,16,Grey,Grey,0.8,1.5
Shor_Mountain.HO,modern,16,Grey,Grey,0.8,1.5
Sicilian.HO,modern,16,Grey,Grey,0.8,1.5
Spanish.DG,modern,16,Grey,Grey,0.8,1.5
Spanish.HO,modern,16,Grey,Grey,0.8,1.5
Spanish_North.HO,modern,16,Grey,Grey,0.8,1.5
Tabasaran.HO,modern,16,Grey,Grey,0.8,1.5
Tajik.DG,modern,16,Grey,Grey,0.8,1.5
Tajik.HO,modern,16,Grey,Grey,0.8,1.5
Tajik.SG,modern,16,Grey,Grey,0.8,1.5
TAK001,TAK,22,yellow,black,1,2
TAK002.A0101,TAK,22,yellow,black,1,2
TAK003.A0101,TAK,22,yellow,black,1,2
TAK004.A0101,TAK,22,yellow,black,1,2
TAK005.A0101,TAK,22,yellow,black,1,2
TAK006.A0101,TAK,22,yellow,black,1,2
TAK008.A0101,TAK,22,yellow,black,1,2
TAK009.A0101,TAK,22,yellow,black,1,2
Tatar_Kazan.HO,modern,16,Grey,Grey,0.8,1.5
Tatar_Mishar.HO,modern,16,Grey,Grey,0.8,1.5
Tatar_Siberian.HO,modern,16,Grey,Grey,0.8,1.5
Tatar_Siberian_Zabolotniye.HO,modern,16,Grey,Grey,0.8,1.5
Thai.DG,modern,16,Grey,Grey,0.8,1.5
Thai.HO,modern,16,Grey,Grey,0.8,1.5
Tibetan.HO,modern,16,Grey,Grey,0.8,1.5
Todzin.HO,modern,16,Grey,Grey,0.8,1.5
Tofalar.HO,modern,16,Grey,Grey,0.8,1.5
Tubalar.DG,modern,16,Grey,Grey,0.8,1.5
Tubalar.HO,modern,16,Grey,Grey,0.8,1.5
Tu.DG,modern,16,Grey,Grey,0.8,1.5
Tu.HO,modern,16,Grey,Grey,0.8,1.5
Tujia.DG,modern,16,Grey,Grey,0.8,1.5
Tujia.HO,modern,16,Grey,Grey,0.8,1.5
Turkish_Balikesir.HO,modern,16,Grey,Grey,0.8,1.5
Turkish.DG,modern,16,Grey,Grey,0.8,1.5
Turkish.HO,modern,16,Grey,Grey,0.8,1.5
Turkmen.HO,modern,16,Grey,Grey,0.8,1.5
Turkmen.SG,modern,16,Grey,Grey,0.8,1.5
Tuvinian.HO,modern,16,Grey,Grey,0.8,1.5
Udmurt.HO,modern,16,Grey,Grey,0.8,1.5
Ukrainian.HO,modern,16,Grey,Grey,0.8,1.5
Ulchi.DG,modern,16,Grey,Grey,0.8,1.5
Ulchi.HO,modern,16,Grey,Grey,0.8,1.5
Uyghur.DG,modern,16,Grey,Grey,0.8,1.5
Uyghur.HO,modern,16,Grey,Grey,0.8,1.5
Uyghur.SG,modern,16,Grey,Grey,0.8,1.5
Uzbek.HO,modern,16,Grey,Grey,0.8,1.5
Uzbek.SG,modern,16,Grey,Grey,0.8,1.5
Veps.HO,modern,16,Grey,Grey,0.8,1.5
Xibo.DG,modern,16,Grey,Grey,0.8,1.5
Xibo.HO,modern,16,Grey,Grey,0.8,1.5
Yakut.DG,modern,16,Grey,Grey,0.8,1.5
Yakut.HO,modern,16,Grey,Grey,0.8,1.5
Yi.DG,modern,16,Grey,Grey,0.8,1.5
Yi.HO,modern,16,Grey,Grey,0.8,1.5
,,,,,, 
